မင်္ဂလာပါ	မင်္ဂလာပါ။ ဘာကူညီပေးရမလဲ။
မင်းနာမည် ဘာလဲ	ကျွန်တော်က မိုင်ဘော့တ်ပါ။
မင်း ဘယ်က ဆင်းသက်လာတာလဲ	ကျွန်တော်ကို Python နဲ့ သင်ကြားထားပါတယ်။
ဘာလုပ်လို့ ကူညီလို့ရမလဲ	သင့်မေးခွန်းကိုပြောပါ။ အားလုံးအတွက် ကြိုးစားစို့။
ကျေးဇူးတင်ပါတယ်	ဘာမဆို ဝမ်းမြောက်ပါတယ်။
မနက်ခင်း ဘယ်လိုလဲ	မနက်ဖြန်လည်း လန်းဆန်းပါစေ။
ကူညီချင်တယ်	ဤနေရာမှာ မေးခွန်းရေးပြီး တင်ပေးပါ။
သတင်း မှန်တယ်လား	အရင်းအမြစ်ကို စစ်ဆေးပါ။ တရားဝင်မူရင်းရှိပါက ယုံကြည်နိုင်ပါတယ်။
Covid ဆေးကောင်းတယ်လား	ဆေးဝါးဝန်ထမ်းဆိုင်ရာ အကြံဉာဏ်ကိုသာ လိုက်နာပါ။
ငါ စိတ်ပင်ပန်းတယ်	အနားယူပြီး ရေသောက်ပါ။ အသက်ရှူယူမှုလေ့ကျင့်ခန်း လုပ်ပါ။
ငါ ဝမ်းနည်းတယ်	မိမိစိတ်ခံစားချက်ကို ချန်ထားမထား ချပြလို့ရပါတယ်။ သင် တန်ဖိုးရှိပါတယ်။
ဒီနေ့ ရာသီဥတု	နေရာအလိုက် ကွာခြားနိုင်ပါတယ်။
မြန်မာဘာသာ ထောက်ပံ့လား	ဟုတ်ပါတယ်။ မြန်မာလို ရေးပို့နိုင်ပါတယ်။
ဖတ်ရှုရ လွယ်ကူစေချင်	စာပိုဒ်ကိုတိုတောင်းစေပါ။ အမှန်တကယ်လိုအပ်တာတင် မေးပါ။
အလုပ်ရှာကူညီပါ	အလုပ်ခွင်အတွေ့အကြုံ လက်ရှိကျွမ်းကျင်မှုနဲ့ တီထွင်ပြီး ရေးပို့ပါ။
အင်တာဗျူး အတွက် အကြံပေးပါ	STAR နည်းလမ်းနဲ့ အဖြေပြင်ဆင်ပါ။
ဖိတ်ကြားလွမ်းတယ်	မိမိကိုယ်ကို ဂရုစိုက်ပါ။ နှုတ်ဆက်လိုက်စကား တစ်ကြိမ်ပို့ပါ။
မိသားစုကိစ္စ ရှိတယ်	ယခုအချိန်မှာ အခက်အခဲကို အတူဖြေရှင်းကြရအောင်။
စားသောက် အကြံပြု	ပေါ်ပေါက်သီးနှံ၊ အသားငယ်၊ ရေနွေးလောက်ပဲ သောက်ပါ။
ကျန်းမာရေး အကြံပြု	အိပ်စက်ကြာချိန်ထိန်း၊ လေ့ကျင့်ခန်း၊ ရေများများသောက်။
ဂိမ်းကစားချင်	အလုပ်ပြီးမှ အနားယူပြီး ကစားပါ။
စာမေ့တတ်တယ်	အပိုင်းအခြားခွဲပြီး ဖတ်ပါ။ အချိန်တိုတိုနဲ့ ပြန်လည်ခွဲ၍ လေ့ကျင့်ပါ။
IELTS ဘယ်လို ပြင်မလဲ	ဘယ် skill တွေက အားနည်းသလဲဆိုတာ စီစဉ်ပြီး Plan တင်ပါ။
ဖေ့စ်ဘုတ် သတင်းမှား	အရင်းအမြစ် နှစ်ခုအတော့ စစ်ဆေးပြီးမှ မျှဝေပါ။
ငွေကြေး အမြန်အကြံ	ငွေကြေးဆိုင်ရာ ဆုံးဖြတ်ချက်ကို ငါ မပြုနိုင်ပါ။ ပရော်ဖက်ရှင်နယ်ကို ဆက်သွယ်ပါ။
အတုသတင်း စစ်မယ်	သတင်းစာရေးသူ၊ ရက်စွဲ၊ URL နှင့် ဖော်ပြချက်ကို စစ်ဆေးပါ။
သတင်း အရင်းအမြစ်	တရားဝင် ဝက်ဘ်ဆိုက် သို့မဟုတ် စာနယ်ဇင်းကို အသုံးပြုပါ။
မနေ့က ရာသီဥတု	ဒေတာမရှိသေးပါ။ တိကျချက်လိုပါက ရာသီဥတု API ချိတ်ပါ။
ကျွန်တော် ဗလာနေတယ်	လေ့လာချင်သည့်အရာ တစ်ခုကို ရွေးပြီး စတင်လိုက်ပါ။
ပျော်ရွှင်စရာ ကုန်သွားပြီ	သင်ပျော်ရွှင်ဖို့ လုပ်ထားသည့် အရာကို ဆက်လုပ်ပါ။
ဆရာဝန် အကြံလိုချင်	ကျန်းမာရေးဆိုင်ရာ ဆုံးဖြတ်ချက် မပေးနိုင်ပါ။ ဆရာဝန်နှင့် တိုင်ပင်ပါ။
